product_id,product_type,product_name,product_gender_target,product_category,product_season,product_condition,product_like_count,sold,brand_name,product_material,product_color,price_usd,seller_price,seller_earning,buyers_fees,seller_id,seller_country,seller_products_sold,seller_num_products_listed
40624202,Jacket,Jacket Gucci Grey size 48 FR in Cotton ,Men,Men Clothing,All seasons,"Never worn, with tag",24,TRUE,Gucci,Cotton,Grey,1942.9,1592.18,1385.19,,24809359,Spain,1,3
40644478,Wool trousers,Wool trousers RUBINACCI Anthracite size 48,Men,Men Clothing,Autumn / Winter,Never worn,29,TRUE,RUBINACCI,Wool,Anthracite,184.03,153.36,133.42,,23536145,Italy,22,5
40644221,Polo ajusté manches longues polo shirt,Polo ajusté manches longues polo shirt Polo Ralph Lauren Grey size M International in Cotton ,Men,Men Clothing,All seasons,"Never worn, with tag",13,TRUE,Polo Ralph Lauren,Cotton,Grey,43,35.83,32.64,,8162129,Italy,3,7
40643787,Wool suit,Wool suit Suitsupply Beige size 46 IT in Wool ,Men,Men Clothing,Autumn / Winter,Very good condition,24,TRUE,Suitsupply,Wool,Beige,190.05,158.38,153.63,,21874310,United Kingdom,16,2
40639885,Shirt,Shirt MM6 Grey size L International in Cotton ,Men,Men Clothing,All seasons,Very good condition,24,TRUE,MM6,Cotton,Grey,131.38,109.49,89.78,,9153155,Romania,3,3
40638147,Sweatshirt,Sweatshirt Roberto Cavalli Black size L International in Cotton ,Men,Men Clothing,All seasons,Very good condition,34,TRUE,Roberto Cavalli,Cotton,Black,25.99,21.3,5.33,,17124093,Romania,5,2
40636592,T-shirt,T,Men,Men Clothing,All seasons,Very good condition,49,TRUE,Dolce & Gabbana,Cotton,Multicolour,191.7,159.75,138.98,,18089868,Italy,17,13
40628283,Wool pull,Wool pull Barena Venezia Green size L International in Wool ,Men,Men Clothing,Autumn / Winter,Very good condition,2,TRUE,Barena Venezia,Wool,Green,123.87,103.22,84.64,,9818564,Sweden,8,3
40605449,Sweatshirt,Sweatshirt Stone Island White size M International in Cotton ,Men,Men Clothing,All seasons,Very good condition,39,TRUE,Stone Island,Cotton,White,151.82,124.42,108.24,,6277601,Italy,6,7
40627527,Jacket,Jacket Burberry Beige size 54 IT in Cotton ,Men,Men Clothing,All seasons,Never worn,13,TRUE,Burberry,Cotton,Beige,198.09,165.08,143.62,,20837922,Italy,8,10
40587990,T-shirt,T,Men,Men Clothing,All seasons,Very good condition,29,TRUE,Palm Angels,Cotton,Black,101.42,83.5,79.76,,22026251,United Kingdom,2,3
40613420,Shirt,Shirt Gucci Blue size 40 EU (tour de cou / collar) in Cotton ,Men,Men Clothing,All seasons,Very good condition,25,TRUE,Gucci,Cotton,Blue,141.26,117.63,102.34,,8432654,Hong Kong,4,17
40582774,T-shirt,T,Men,Men Clothing,All seasons,"Never worn, with tag",10,TRUE,MCM,Cotton,Yellow,120.13,100.11,81.9,,3228740,Germany,111,65
40611679,T-shirt,T,Men,Men Clothing,All seasons,Never worn,1,TRUE,Junya Watanabe,Cotton,White,250,227.27,220.45,,18613935,United States,38,897
40606804,Jacket,Jacket Dolce & Gabbana Black size 50 IT in Polyester ,Men,Men Clothing,All seasons,Very good condition,14,TRUE,Dolce & Gabbana,Polyester,Black,178.92,149.1,129.72,,2712185,Italy,13,6
40604669,Polo shirt,Polo shirt Vivienne Westwood Pink size XL International in Cotton ,Men,Men Clothing,All seasons,Very good condition,2,TRUE,Vivienne Westwood,Cotton,Pink,52.21,43.5,24.86,,13161759,Poland,295,520
40600890,Linen shirt,Linen shirt Loro Piana Yellow size XL International in Linen ,Men,Men Clothing,Spring / Summer,Very good condition,22,TRUE,Loro Piana,Linen,Yellow,137.36,114.46,99.58,,18478793,Italy,22,85
40598975,Sweatshirt,Sweatshirt Ader Error Beige size M International in Cotton ,Men,Men Clothing,All seasons,Never worn,5,TRUE,Ader Error,Cotton,Beige,132.38,110.32,90.46,,20817321,Germany,3,2
40595659,T-shirt,T,Men,Men Clothing,All seasons,Never worn,11,TRUE,FERRARI,Cotton,Multicolour,31.95,26.63,10.65,,7466292,Portugal,494,43
40600578,Wool jacket,Wool jacket Cos Green size S International in Wool ,Men,Men Clothing,Autumn / Winter,Never worn,11,TRUE,Cos,Wool,Green,60,54.55,39.55,,23015335,United States,4,7
40593262,Pull,Pull Rick Owens Green size 48 IT in Cotton ,Men,Men Clothing,All seasons,Very good condition,25,TRUE,Rick Owens,Cotton,Green,382.21,318.5,261.17,,6456901,Germany,38,5
40587343,Jeans,Jeans Diesel Blue size 29 US in Cotton ,Men,Men Clothing,All seasons,Very good condition,0,TRUE,Diesel,Cotton,Blue,60.73,49.77,35.92,,7641174,Italy,105,126
40583446,Trousers,Trousers Armani Collezioni Beige size 36 UK ,Men,Men Clothing,All seasons,Very good condition,1,TRUE,Armani Collezioni,Denim - Jeans,Beige,23,19.17,15.98,,9318853,Greece,1,0
40557075,Slim jean,Slim jean Dsquared2 Blue size 48 FR in Cotton ,Men,Men Clothing,All seasons,Good condition,5,TRUE,Dsquared2,Cotton,Blue,68.84,57.37,53.62,,3364622,United Kingdom,67,34
40573357,Straight jeans,Straight jeans Prada Grey size 30 US in Cotton ,Men,Men Clothing,All seasons,Very good condition,19,TRUE,Prada,Cotton,Grey,80,66.67,52.82,,6748102,Italy,1268,401
40571219,Shirt,Shirt Etro White size L International in Cotton ,Men,Men Clothing,All seasons,Very good condition,6,TRUE,Etro,Cotton,White,23.89,19.91,6.06,,21956712,Italy,49,42
40569347,T-shirt,T,Men,Men Clothing,All seasons,"Never worn, with tag",7,TRUE,Emporio Armani,Cotton,Blue,24.29,19.91,6.06,,24581829,Italy,27,70
40537844,Sweatshirt,Sweatshirt Balenciaga Black size XS International in Cotton ,Men,Men Clothing,All seasons,Very good condition,20,TRUE,Balenciaga,Cotton,Black,147.68,120.97,99.19,,13783880,Poland,91,112
40565907,Wool pull,Wool pull Gant Blue size XXL International in Wool ,Men,Men Clothing,Autumn / Winter,"Never worn, with tag",0,TRUE,Gant,Wool,Blue,38.22,31.85,18.01,,24689088,France,8,15
40564068,T-shirt,T,Men,Men Clothing,All seasons,Good condition,6,TRUE,Dries Van Noten,Cotton,White,51.5,42.4,38.66,,5858525,United Kingdom,138,9
